d2h = 0.2246758039472267	pd = 0.3181818181818182	pf = 0.02456140350877193
d2h = 0.288799783594969	pd = 0.4090909090909091	pf = 0.028070175438596492
d2h = 0.288799783594969	pd = 0.4090909090909091	pf = 0.028070175438596492
d2h = 0.3510463805157858	pd = 0.5	pf = 0.05964912280701754
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.09640349213495603	pd = 0.13636363636363635	pf = 0.007017543859649123
d2h = 0.288799783594969	pd = 0.4090909090909091	pf = 0.028070175438596492
d2h = 0.16068355513445565	pd = 0.22727272727272727	pf = 0.007017543859649123
d2h = 0.0642824346533225	pd = 0.09090909090909091	pf = 0.0
d2h = 0.1606159662116674	pd = 0.22727272727272727	pf = 0.014035087719298246
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5383935842718625	pd = 1.0	pf = 0.23859649122807017
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.288799783594969	pd = 0.4090909090909091	pf = 0.028070175438596492
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.49373420861797523	pd = 1.0	pf = 0.3017543859649123
d2h = 0.49373420861797523	pd = 1.0	pf = 0.3017543859649123
d2h = 0.49373420861797523	pd = 1.0	pf = 0.3017543859649123
d2h = 0.032136657301851335	pd = 0.045454545454545456	pf = 0.0035087719298245615
d2h = -0.07594204374546876	pd = 0.045454545454545456	pf = 0.5614035087719298
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5507989663979422	pd = 1.0	pf = 0.22105263157894736
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.4601905321594484	pd = 0.6818181818181818	pf = 0.14385964912280702
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1860749470267702	pd = 0.2631578947368421	pf = 0.003472222222222222
d2h = 0.11160288481698077	pd = 0.15789473684210525	pf = 0.010416666666666666
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.14877820440782397	pd = 0.21052631578947367	pf = 0.013888888888888888
d2h = 0.14881599449676775	pd = 0.21052631578947367	pf = 0.010416666666666666
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2601824437479454	pd = 0.3684210526315789	pf = 0.024305555555555556
d2h = 0.22299170997300127	pd = 0.3157894736842105	pf = 0.024305555555555556
d2h = 0.14881599449676775	pd = 0.21052631578947367	pf = 0.010416666666666666
d2h = 0.22307265423933137	pd = 0.3157894736842105	pf = 0.020833333333333332
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.14881599449676775	pd = 0.21052631578947367	pf = 0.010416666666666666
d2h = 0.18593612954370264	pd = 0.2631578947368421	pf = 0.017361111111111112
d2h = 0.037216146378239334	pd = 0.05263157894736842	pf = 0.0
d2h = 0.5288569167847161	pd = 0.9473684210526315	pf = 0.2465277777777778
d2h = 0.14808763608861208	pd = 0.21052631578947367	pf = 0.041666666666666664
